TrialNumber,ApplicationNumber,FilingDate,PatentNumber
IPR2017-00315,14274288,2016-11-23,8929965
IPR2017-00319,14184396,2016-11-23,8923941
IPR2017-00318,14184364,2016-11-23,8886269
IPR2017-00331,14621507,2016-11-24,9119495
IPR2017-00335,14547505,2016-11-25,8959810
IPR2017-00334,14547505,2016-11-25,8959810
IPR2017-00332,14621507,2016-11-25,9119495
IPR2017-00341,14848782,2016-11-28,9393639
IPR2017-00340,12998420,2016-11-28,8950404
IPR2017-00345,14931276,2016-11-29,9396631
IPR2017-00312,09793191,2016-11-29,6612985
IPR2017-00337,13950877,2016-11-29,9038163
IPR2017-00344,14931276,2016-11-29,9396631
IPR2017-00336,09792436,2016-11-29,6959293
IPR2017-00353,14215358,2016-11-30,8983134
IPR2017-00360,10822885,2016-11-30,6979501
IPR2017-00373,13625694,2016-11-30,8551169
IPR2017-00366,13154211,2016-11-30,8643513
IPR2017-00359,09439059,2016-11-30,6437692
IPR2017-00365,11553426,2016-11-30,7415530
IPR2017-00350,14107665,2016-12-01,8887332
IPR2017-00351,14328008,2016-12-01,9015883
IPR2017-00349,13204770,2016-12-01,8307088
IPR2017-00352,13531122,2016-12-01,8646134
IPR2017-00375,14040233,2016-12-01,8781292
IPR2017-00378,13631573,2016-12-01,8562999
IPR2017-00380,13631573,2016-12-01,8562999
IPR2017-00282,10439245,2016-12-02,RE40264
IPR2017-00279,10439245,2016-12-02,RE40264
IPR2017-00281,10439245,2016-12-02,RE40264
IPR2017-00391,08866040,2016-12-02,6017221
IPR2017-00280,10439245,2016-12-02,RE40264
